Date,PortfolioValue,Price_VTI,Price_QQQ,PortfolioPct,Pct_VTI,Pct_QQQ,Diff_VTI,Diff_QQQ,EventLabel
2026-01-01,769134.76,335.98,613.88,0.0000,0.0000,0.0000,0.0000,0.0000,
2026-01-02,780599.58,336.69,613.75,0.0149,0.0021,-0.0002,0.0128,0.0151,
2026-01-05,747103.83,338.84,617.99,0.0163,0.0085,0.0067,0.0078,0.0096,Annual SEPP withdrawal 45000
2026-01-06,757426.21,341.21,623.42,0.0302,0.0156,0.0155,0.0146,0.0147,
2026-01-07,753274.09,340.05,624.02,0.0246,0.0121,0.0165,0.0125,0.0081,
2026-01-08,749370.54,340.14,620.47,0.0195,0.0124,0.0107,0.0071,0.0088,
2026-01-09,758978.61,342.40,626.65,0.0320,0.0191,0.0208,0.0129,0.0112,
2026-01-12,767212.02,343.03,627.17,0.0427,0.0210,0.0216,0.0217,0.0211,
2026-01-13,767739.95,342.34,626.24,0.0434,0.0189,0.0201,0.0245,0.0233,
2026-01-14,771846.28,341.00,619.55,0.0488,0.0149,0.0092,0.0339,0.0396,
2026-01-15,772748.59,342.05,621.78,0.0500,0.0181,0.0129,0.0319,0.0371,
2026-01-16,772771.79,341.85,621.26,0.0500,0.0175,0.0120,0.0325,0.0380,
2026-01-20,767437.71,335.11,608.06,0.0431,-0.0026,-0.0095,0.0457,0.0526,Trump threatens European tariffs over Greenland | Broad tech-led selloff
2026-01-21,777342.03,339.08,616.28,0.0563,0.0092,0.0039,0.0471,0.0524,
2026-01-22,784015.16,340.87,620.76,0.0652,0.0146,0.0112,0.0506,0.0540,
2026-01-23,787225.61,340.56,622.72,0.0696,0.0136,0.0144,0.0560,0.0552,
2026-01-24,786839.58,340.56,622.72,0.0691,0.0136,0.0144,0.0555,0.0547,
2026-01-25,786839.58,340.56,622.72,0.0691,0.0136,0.0144,0.0555,0.0547,
2026-01-26,790714.45,342.03,625.46,0.0743,0.0180,0.0189,0.0563,0.0554,
2026-01-27,803580.59,343.27,631.13,0.0911,0.0217,0.0281,0.0694,0.0630,AI & semiconductor momentum breakout | Tech-led rally accelerates
2026-01-28,811514.73,343.08,633.22,0.1015,0.0211,0.0315,0.0804,0.0700,
2026-01-29,809385.94,342.29,629.43,0.0987,0.0188,0.0253,0.0799,0.0734,
2026-01-30,774554.83,340.57,621.87,0.0525,0.0137,0.0130,0.0388,0.0395,Trump nominates Kevin Warsh as Fed Chair | Policy uncertainty selloff
2026-02-02,771981.03,342.48,626.14,0.0492,0.0193,0.0200,0.0299,0.0292,
2026-02-03,780568.38,339.85,616.52,0.0605,0.0115,0.0043,0.0490,0.0562,
2026-02-04,769498.77,338.25,605.75,0.0459,0.0068,-0.0132,0.0391,0.0591,AI valuation selloff | Tech correction accelerates
2026-02-05,750471.94,333.90,597.03,0.0205,-0.0062,-0.0274,0.0267,0.0479,AI selloff deepens | Growth stocks tumble
2026-02-06,774932.94,340.96,609.65,0.0536,0.0148,-0.0069,0.0388,0.0605,AI & semiconductor rebound | Yield pullback lifts tech
2026-02-09,788732.93,342.64,614.32,0.0720,0.0198,0.0007,0.0522,0.0713,Dip-buying returns | Tech rebound lifts market
2026-02-10,785173.59,341.80,611.47,0.0674,0.0173,-0.0039,0.0501,0.0713,
2026-02-11,791801.14,341.47,613.11,0.0762,0.0163,-0.0013,0.0599,0.0775,
2026-02-12,777100.79,336.01,600.64,0.0563,0.0001,-0.0216,0.0562,0.0779,AI pullback resumes | Growth stocks retreat
2026-02-13,783458.53,336.65,601.92,0.0647,0.0020,-0.0195,0.0627,0.0842,
2026-02-17,780512.29,337.07,601.30,0.0608,0.0032,-0.0205,0.0576,0.0813,
2026-02-18,788431.08,338.83,605.79,0.0713,0.0085,-0.0132,0.0628,0.0845,
2026-02-19,790172.34,338.19,603.47,0.0736,0.0066,-0.0170,0.0670,0.0906,
2026-02-20,797698.07,340.27,608.81,0.0837,0.0128,-0.0083,0.0709,0.0920,
2026-02-23,796820.46,336.46,601.41,0.0825,0.0014,-0.0203,0.0811,0.1028,
2026-02-24,802888.15,339.21,607.82,0.0906,0.0096,-0.0099,0.0810,0.1005,
2026-02-25,805767.28,341.83,616.42,0.0944,0.0174,0.0041,0.0770,0.0903,
2026-02-26,802866.10,340.49,609.24,0.0906,0.0134,-0.0076,0.0772,0.0982,
2026-02-27,804512.77,338.77,607.29,0.0928,0.0083,-0.0107,0.0845,0.1035,
2026-03-02,806522.24,339.12,608.09,0.0955,0.0093,-0.0094,0.0862,0.1049,
2026-03-03,785292.32,335.73,601.58,0.0669,-0.0007,-0.0200,0.0676,0.0869,Iran closes Strait of Hormuz amid conflict | Oil surge on inflation fears
2026-03-04,793791.45,338.19,610.75,0.0782,0.0066,-0.0051,0.0716,0.0833,Bessent calms tariff fears | Strong ADP jobs data
2026-03-05,782503.51,336.00,608.91,0.0631,0.0001,-0.0081,0.0630,0.0712,
2026-03-06,777173.36,331.41,599.75,0.0560,-0.0136,-0.0230,0.0696,0.0790,Negative jobs data Middle East oil shock | MWS -3.85%
